Programa,Materia,Bloque,Cupo
ARQ,Teoría de la Arquitectura,ARQBLO1,50
ARQ,Investigación para la Arquitec,ARQBLO1,50
ARQ,Hist. y Tendencias Urbano Arq.,ARQBLO1,50
ARQ,Dibujo I,ARQBLO1,50
ARQ,Geometría Descriptiva,ARQBLO1,50
ARQ,Taller de Diseño Básico,ARQBLO1,50
ARQ,Matem. para la Arquitectura I,ARQBLO1,50
ARQ,Introducción a la FGU,ARQBLO1,50
ARQ,Inglés I,ARQBLO1,50
ARQ,Arquitectura de la Antigüedad,ARQBLO1,50
ARQ,Métodos y Estrat. Proyectuales,ARQBLO1,50
ARQ,P. Inclusión Soc.en el Espacio,ARQBLO1,50
ARQ,Dibujo II,ARQBLO1,50
ARQ,Taller de Diseño Integral I,ARQBLO1,50
ARQ,Matem. Aplicadas a la Arqui.II,ARQBLO1,50
ARQ,Introducc. a las Instalaciones,ARQBLO1,50
ARQ,Conc. Básicos de Construcción,ARQBLO1,50
ARQ,Inglés II,ARQBLO1,50
ARQ,Teoría de la Arquitectura,ARQBLO2,50
ARQ,Investigación para la Arquitec,ARQBLO2,50
ARQ,Hist. y Tendencias Urbano Arq.,ARQBLO2,50
ARQ,Dibujo I,ARQBLO2,50
ARQ,Geometría Descriptiva,ARQBLO2,50
ARQ,Taller de Diseño Básico,ARQBLO2,50
ARQ,Matem. para la Arquitectura I,ARQBLO2,50
ARQ,Introducción a la FGU,ARQBLO2,50
ARQ,Inglés I,ARQBLO2,50
ARQ,Arquitectura de la Antigüedad,ARQBLO2,50
ARQ,Métodos y Estrat. Proyectuales,ARQBLO2,50
ARQ,P. Inclusión Soc.en el Espacio,ARQBLO2,50
ARQ,Dibujo II,ARQBLO2,50
ARQ,Taller de Diseño Integral I,ARQBLO2,50
ARQ,Matem. Aplicadas a la Arqui.II,ARQBLO2,50
ARQ,Introducc. a las Instalaciones,ARQBLO2,50
ARQ,Conc. Básicos de Construcción,ARQBLO2,50
ARQ,Inglés II,ARQBLO2,50
ARQ,Teoría de la Arquitectura,ARQBLO3,50
ARQ,Investigación para la Arquitec,ARQBLO3,50
ARQ,Hist. y Tendencias Urbano Arq.,ARQBLO3,50
ARQ,Dibujo I,ARQBLO3,50
ARQ,Geometría Descriptiva,ARQBLO3,50
ARQ,Taller de Diseño Básico,ARQBLO3,50
ARQ,Matem. para la Arquitectura I,ARQBLO3,50
ARQ,Introducción a la FGU,ARQBLO3,50
ARQ,Inglés I,ARQBLO3,50
ARQ,Arquitectura de la Antigüedad,ARQBLO3,50
ARQ,Métodos y Estrat. Proyectuales,ARQBLO3,50
ARQ,P. Inclusión Soc.en el Espacio,ARQBLO3,50
ARQ,Dibujo II,ARQBLO3,50
ARQ,Taller de Diseño Integral I,ARQBLO3,50
ARQ,Matem. Aplicadas a la Arqui.II,ARQBLO3,50
ARQ,Introducc. a las Instalaciones,ARQBLO3,50
ARQ,Conc. Básicos de Construcción,ARQBLO3,50
ARQ,Inglés II,ARQBLO3,50
ARQ,Teoría de la Arquitectura,ARQBLO4,50
ARQ,Investigación para la Arquitec,ARQBLO4,50
ARQ,Hist. y Tendencias Urbano Arq.,ARQBLO4,50
ARQ,Dibujo I,ARQBLO4,50
ARQ,Geometría Descriptiva,ARQBLO4,50
ARQ,Taller de Diseño Básico,ARQBLO4,50
ARQ,Matem. para la Arquitectura I,ARQBLO4,50
ARQ,Introducción a la FGU,ARQBLO4,50
ARQ,Inglés I,ARQBLO4,50
ARQ,Arquitectura de la Antigüedad,ARQBLO4,50
ARQ,Métodos y Estrat. Proyectuales,ARQBLO4,50
ARQ,P. Inclusión Soc.en el Espacio,ARQBLO4,50
ARQ,Dibujo II,ARQBLO4,50
ARQ,Taller de Diseño Integral I,ARQBLO4,50
ARQ,Matem. Aplicadas a la Arqui.II,ARQBLO4,50
ARQ,Introducc. a las Instalaciones,ARQBLO4,50
ARQ,Conc. Básicos de Construcción,ARQBLO4,50
ARQ,Inglés II,ARQBLO4,50
ARQ,Teoría de la Arquitectura,ARQBLO5,50
ARQ,Investigación para la Arquitec,ARQBLO5,50
ARQ,Hist. y Tendencias Urbano Arq.,ARQBLO5,50
ARQ,Dibujo I,ARQBLO5,50
ARQ,Geometría Descriptiva,ARQBLO5,50
ARQ,Taller de Diseño Básico,ARQBLO5,50
ARQ,Matem. para la Arquitectura I,ARQBLO5,50
ARQ,Introducción a la FGU,ARQBLO5,50
ARQ,Inglés I,ARQBLO5,50
ARQ,Arquitectura de la Antigüedad,ARQBLO5,50
ARQ,Métodos y Estrat. Proyectuales,ARQBLO5,50
ARQ,P. Inclusión Soc.en el Espacio,ARQBLO5,50
ARQ,Dibujo II,ARQBLO5,50
ARQ,Taller de Diseño Integral I,ARQBLO5,50
ARQ,Matem. Aplicadas a la Arqui.II,ARQBLO5,50
ARQ,Introducc. a las Instalaciones,ARQBLO5,50
ARQ,Conc. Básicos de Construcción,ARQBLO5,50
ARQ,Inglés II,ARQBLO5,50
ARQ,Teoría de la Arquitectura,ARQBLO6,50
ARQ,Investigación para la Arquitec,ARQBLO6,50
ARQ,Hist. y Tendencias Urbano Arq.,ARQBLO6,50
ARQ,Dibujo I,ARQBLO6,50
ARQ,Geometría Descriptiva,ARQBLO6,50
ARQ,Taller de Diseño Básico,ARQBLO6,50
ARQ,Matem. para la Arquitectura I,ARQBLO6,50
ARQ,Introducción a la FGU,ARQBLO6,50
ARQ,Inglés I,ARQBLO6,50
ARQ,Arquitectura de la Antigüedad,ARQBLO6,50
ARQ,Métodos y Estrat. Proyectuales,ARQBLO6,50
ARQ,P. Inclusión Soc.en el Espacio,ARQBLO6,50
ARQ,Dibujo II,ARQBLO6,50
ARQ,Taller de Diseño Integral I,ARQBLO6,50
ARQ,Matem. Aplicadas a la Arqui.II,ARQBLO6,50
ARQ,Introducc. a las Instalaciones,ARQBLO6,50
ARQ,Conc. Básicos de Construcción,ARQBLO6,50
ARQ,Inglés II,ARQBLO6,50
ARQ,Teoría de la Arquitectura,ARQBLO7,50
ARQ,Investigación para la Arquitec,ARQBLO7,50
ARQ,Hist. y Tendencias Urbano Arq.,ARQBLO7,50
ARQ,Dibujo I,ARQBLO7,50
ARQ,Geometría Descriptiva,ARQBLO7,50
ARQ,Taller de Diseño Básico,ARQBLO7,50
ARQ,Matem. para la Arquitectura I,ARQBLO7,50
ARQ,Introducción a la FGU,ARQBLO7,50
ARQ,Inglés I,ARQBLO7,50
ARQ,Arquitectura de la Antigüedad,ARQBLO7,50
ARQ,Métodos y Estrat. Proyectuales,ARQBLO7,50
ARQ,P. Inclusión Soc.en el Espacio,ARQBLO7,50
ARQ,Dibujo II,ARQBLO7,50
ARQ,Taller de Diseño Integral I,ARQBLO7,50
ARQ,Matem. Aplicadas a la Arqui.II,ARQBLO7,50
ARQ,Introducc. a las Instalaciones,ARQBLO7,50
ARQ,Conc. Básicos de Construcción,ARQBLO7,50
ARQ,Inglés II,ARQBLO7,50
ARQ,Teoría de la Arquitectura,ARQBLO8,50
ARQ,Investigación para la Arquitec,ARQBLO8,50
ARQ,Hist. y Tendencias Urbano Arq.,ARQBLO8,50
ARQ,Dibujo I,ARQBLO8,50
ARQ,Geometría Descriptiva,ARQBLO8,50
ARQ,Taller de Diseño Básico,ARQBLO8,50
ARQ,Matem. para la Arquitectura I,ARQBLO8,50
ARQ,Introducción a la FGU,ARQBLO8,50
ARQ,Inglés I,ARQBLO8,50
ARQ,Arquitectura de la Antigüedad,ARQBLO8,50
ARQ,Métodos y Estrat. Proyectuales,ARQBLO8,50
ARQ,P. Inclusión Soc.en el Espacio,ARQBLO8,50
ARQ,Dibujo II,ARQBLO8,50
ARQ,Taller de Diseño Integral I,ARQBLO8,50
ARQ,Matem. Aplicadas a la Arqui.II,ARQBLO8,50
ARQ,Introducc. a las Instalaciones,ARQBLO8,50
ARQ,Conc. Básicos de Construcción,ARQBLO8,50
ARQ,Inglés II,ARQBLO8,50
ARQ,Teoría de la Arquitectura,ARQBLO9,50
ARQ,Investigación para la Arquitec,ARQBLO9,50
ARQ,Hist. y Tendencias Urbano Arq.,ARQBLO9,50
ARQ,Dibujo I,ARQBLO9,50
ARQ,Geometría Descriptiva,ARQBLO9,50
ARQ,Taller de Diseño Básico,ARQBLO9,50
ARQ,Matem. para la Arquitectura I,ARQBLO9,50
ARQ,Introducción a la FGU,ARQBLO9,50
ARQ,Inglés I,ARQBLO9,50
ARQ,Arquitectura de la Antigüedad,ARQBLO9,50
ARQ,Métodos y Estrat. Proyectuales,ARQBLO9,50
ARQ,P. Inclusión Soc.en el Espacio,ARQBLO9,50
ARQ,Dibujo II,ARQBLO9,50
ARQ,Taller de Diseño Integral I,ARQBLO9,50
ARQ,Matem. Aplicadas a la Arqui.II,ARQBLO9,50
ARQ,Introducc. a las Instalaciones,ARQBLO9,50
ARQ,Conc. Básicos de Construcción,ARQBLO9,50
ARQ,Inglés II,ARQBLO9,50
ARQ,Teoría de la Arquitectura,ARQBLO10,50
ARQ,Investigación para la Arquitec,ARQBLO10,50
ARQ,Hist. y Tendencias Urbano Arq.,ARQBLO10,50
ARQ,Dibujo I,ARQBLO10,50
ARQ,Geometría Descriptiva,ARQBLO10,50
ARQ,Taller de Diseño Básico,ARQBLO10,50
ARQ,Matem. para la Arquitectura I,ARQBLO10,50
ARQ,Introducción a la FGU,ARQBLO10,50
ARQ,Inglés I,ARQBLO10,50
ARQ,Arquitectura de la Antigüedad,ARQBLO10,50
ARQ,Métodos y Estrat. Proyectuales,ARQBLO10,50
ARQ,P. Inclusión Soc.en el Espacio,ARQBLO10,50
ARQ,Dibujo II,ARQBLO10,50
ARQ,Taller de Diseño Integral I,ARQBLO10,50
ARQ,Matem. Aplicadas a la Arqui.II,ARQBLO10,50
ARQ,Introducc. a las Instalaciones,ARQBLO10,50
ARQ,Conc. Básicos de Construcción,ARQBLO10,50
ARQ,Inglés II,ARQBLO10,50
BIO,Introduccion a la Biologia,BIOBLO1,50
BIO,Biomatematicas I,BIOBLO1,50
BIO,Quimica General,BIOBLO1,50
BIO,Fisicoquimica,BIOBLO1,50
BIO,DHPC,BIOBLO1,50
BIO,Lengua Extranjera I,BIOBLO1,50
BIO,Biomatematicas II,BIOBLO1,50
BIO,Bioquimica,BIOBLO1,50
BIO,Estructura y Funcion Celular,BIOBLO1,50
BIO,Biologia. de Org. Unicelulares,BIOBLO1,50
BIO,Formacion Humana y Social,BIOBLO1,50
BIO,Lengua Extranjera II,BIOBLO1,50
BIO,Introduccion a la Biologia,BIOBLO2,50
BIO,Biomatematicas I,BIOBLO2,50
BIO,Quimica General,BIOBLO2,50
BIO,Fisicoquimica,BIOBLO2,50
BIO,DHPC,BIOBLO2,50
BIO,Lengua Extranjera I,BIOBLO2,50
BIO,Biomatematicas II,BIOBLO2,50
BIO,Bioquimica,BIOBLO2,50
BIO,Estructura y Funcion Celular,BIOBLO2,50
BIO,Biologia. de Org. Unicelulares,BIOBLO2,50
BIO,Formacion Humana y Social,BIOBLO2,50
BIO,Lengua Extranjera II,BIOBLO2,50
BIO,Introduccion a la Biologia,BIOBLO3,50
BIO,Biomatematicas I,BIOBLO3,50
BIO,Quimica General,BIOBLO3,50
BIO,Fisicoquimica,BIOBLO3,50
BIO,DHPC,BIOBLO3,50
BIO,Lengua Extranjera I,BIOBLO3,50
BIO,Biomatematicas II,BIOBLO3,50
BIO,Bioquimica,BIOBLO3,50
BIO,Estructura y Funcion Celular,BIOBLO3,50
BIO,Biologia. de Org. Unicelulares,BIOBLO3,50
BIO,Formacion Humana y Social,BIOBLO3,50
BIO,Lengua Extranjera II,BIOBLO3,50
BIO,Introduccion a la Biologia,BIOBLO4,50
BIO,Biomatematicas I,BIOBLO4,50
BIO,Quimica General,BIOBLO4,50
BIO,Fisicoquimica,BIOBLO4,50
BIO,DHPC,BIOBLO4,50
BIO,Lengua Extranjera I,BIOBLO4,50
BIO,Biomatematicas II,BIOBLO4,50
BIO,Bioquimica,BIOBLO4,50
BIO,Estructura y Funcion Celular,BIOBLO4,50
BIO,Biologia. de Org. Unicelulares,BIOBLO4,50
BIO,Formacion Humana y Social,BIOBLO4,50
BIO,Lengua Extranjera II,BIOBLO4,50
BIO,Introduccion a la Biologia,BIOBLO5,50
BIO,Biomatematicas I,BIOBLO5,50
BIO,Quimica General,BIOBLO5,50
BIO,Fisicoquimica,BIOBLO5,50
BIO,DHPC,BIOBLO5,50
BIO,Lengua Extranjera I,BIOBLO5,50
BIO,Biomatematicas II,BIOBLO5,50
BIO,Bioquimica,BIOBLO5,50
BIO,Estructura y Funcion Celular,BIOBLO5,50
BIO,Biologia. de Org. Unicelulares,BIOBLO5,50
BIO,Formacion Humana y Social,BIOBLO5,50
BIO,Lengua Extranjera II,BIOBLO5,50
BIO,Introduccion a la Biologia,BIOBLO6,50
BIO,Biomatematicas I,BIOBLO6,50
BIO,Quimica General,BIOBLO6,50
BIO,Fisicoquimica,BIOBLO6,50
BIO,DHPC,BIOBLO6,50
BIO,Lengua Extranjera I,BIOBLO6,50
BIO,Biomatematicas II,BIOBLO6,50
BIO,Bioquimica,BIOBLO6,50
BIO,Estructura y Funcion Celular,BIOBLO6,50
BIO,Biologia. de Org. Unicelulares,BIOBLO6,50
BIO,Formacion Humana y Social,BIOBLO6,50
BIO,Lengua Extranjera II,BIOBLO6,50
BIO,Introduccion a la Biologia,BIOBLO7,50
BIO,Biomatematicas I,BIOBLO7,50
BIO,Quimica General,BIOBLO7,50
BIO,Fisicoquimica,BIOBLO7,50
BIO,DHPC,BIOBLO7,50
BIO,Lengua Extranjera I,BIOBLO7,50
BIO,Biomatematicas II,BIOBLO7,50
BIO,Bioquimica,BIOBLO7,50
BIO,Estructura y Funcion Celular,BIOBLO7,50
BIO,Biologia. de Org. Unicelulares,BIOBLO7,50
BIO,Formacion Humana y Social,BIOBLO7,50
BIO,Lengua Extranjera II,BIOBLO7,50
CCO,Matemáticas para la Comput. I,CCOBLO1,50
CCO,Álgebra Superior,CCOBLO1,50
CCO,Ensamblador,CCOBLO1,50
CCO,Programación Estructurada,CCOBLO1,50
CCO,Introducción a la FGU,CCOBLO1,50
CCO,Inglés I,CCOBLO1,50
CCO,Matemáticas para la Comp. II,CCOBLO1,50
CCO,Programación Orientada a Obj.,CCOBLO1,50
CCO,Álgebra Lineal con Aplic.,CCOBLO1,50
CCO,Matemáticas Discretas y Aplic.,CCOBLO1,50
CCO,Inglés II,CCOBLO1,50
CCO,Inglés III,CCOBLO1,50
CCO,Inglés IV,CCOBLO1,50
CCO,Matemáticas para la Comput. I,CCOBLO2,50
CCO,Álgebra Superior,CCOBLO2,50
CCO,Ensamblador,CCOBLO2,50
CCO,Programación Estructurada,CCOBLO2,50
CCO,Introducción a la FGU,CCOBLO2,50
CCO,Inglés I,CCOBLO2,50
CCO,Matemáticas para la Comp. II,CCOBLO2,50
CCO,Programación Orientada a Obj.,CCOBLO2,50
CCO,Álgebra Lineal con Aplic.,CCOBLO2,50
CCO,Matemáticas Discretas y Aplic.,CCOBLO2,50
CCO,Inglés II,CCOBLO2,50
CCO,Inglés III,CCOBLO2,50
CCO,Inglés IV,CCOBLO2,50
CCO,Matemáticas para la Comput. I,CCOBLO3,50
CCO,Álgebra Superior,CCOBLO3,50
CCO,Ensamblador,CCOBLO3,50
CCO,Programación Estructurada,CCOBLO3,50
CCO,Introducción a la FGU,CCOBLO3,50
CCO,Inglés I,CCOBLO3,50
CCO,Matemáticas para la Comp. II,CCOBLO3,50
CCO,Programación Orientada a Obj.,CCOBLO3,50
CCO,Álgebra Lineal con Aplic.,CCOBLO3,50
CCO,Matemáticas Discretas y Aplic.,CCOBLO3,50
CCO,Inglés II,CCOBLO3,50
CCO,Inglés III,CCOBLO3,50
CCO,Inglés IV,CCOBLO3,50
DSG,Matemáticas para el Diseño,DSGBLO1,50
DSG,Dibujo e Ilust. Digital Vector,DSGBLO1,50
DSG,Procesos de Diseño,DSGBLO1,50
DSG,Expresión Comunicativa,DSGBLO1,50
DSG,Dibujo I,DSGBLO1,50
DSG,Color,DSGBLO1,50
DSG,Introducción a la FGU,DSGBLO1,50
DSG,Inglés I,DSGBLO1,50
DSG,Taller de Diseño Básico,DSGBLO1,50
DSG,Fotografía I,DSGBLO1,50
DSG,Edición Digital de Imagen,DSGBLO1,50
DSG,Dibujo II,DSGBLO1,50
DSG,Tipografía I,DSGBLO1,50
DSG,Comunicación Visual I,DSGBLO1,50
DSG,Hist. Arte y Diseño Gráfico I,DSGBLO1,50
DSG,Inglés II,DSGBLO1,50
DSG,Taller de Diseño Gráfico I,DSGBLO1,50
DSG,Matemáticas para el Diseño,DSGBLO2,50
DSG,Dibujo e Ilust. Digital Vector,DSGBLO2,50
DSG,Procesos de Diseño,DSGBLO2,50
DSG,Expresión Comunicativa,DSGBLO2,50
DSG,Dibujo I,DSGBLO2,50
DSG,Color,DSGBLO2,50
DSG,Introducción a la FGU,DSGBLO2,50
DSG,Inglés I,DSGBLO2,50
DSG,Taller de Diseño Básico,DSGBLO2,50
DSG,Fotografía I,DSGBLO2,50
DSG,Edición Digital de Imagen,DSGBLO2,50
DSG,Dibujo II,DSGBLO2,50
DSG,Tipografía I,DSGBLO2,50
DSG,Comunicación Visual I,DSGBLO2,50
DSG,Hist. Arte y Diseño Gráfico I,DSGBLO2,50
DSG,Inglés II,DSGBLO2,50
DSG,Taller de Diseño Gráfico I,DSGBLO2,50
DSG,Matemáticas para el Diseño,DSGBLO3,50
DSG,Dibujo e Ilust. Digital Vector,DSGBLO3,50
DSG,Procesos de Diseño,DSGBLO3,50
DSG,Expresión Comunicativa,DSGBLO3,50
DSG,Dibujo I,DSGBLO3,50
DSG,Color,DSGBLO3,50
DSG,Introducción a la FGU,DSGBLO3,50
DSG,Inglés I,DSGBLO3,50
DSG,Taller de Diseño Básico,DSGBLO3,50
DSG,Fotografía I,DSGBLO3,50
DSG,Edición Digital de Imagen,DSGBLO3,50
DSG,Dibujo II,DSGBLO3,50
DSG,Tipografía I,DSGBLO3,50
DSG,Comunicación Visual I,DSGBLO3,50
DSG,Hist. Arte y Diseño Gráfico I,DSGBLO3,50
DSG,Inglés II,DSGBLO3,50
DSG,Taller de Diseño Gráfico I,DSGBLO3,50
DSG,Matemáticas para el Diseño,DSGBLO4,50
DSG,Dibujo e Ilust. Digital Vector,DSGBLO4,50
DSG,Procesos de Diseño,DSGBLO4,50
DSG,Expresión Comunicativa,DSGBLO4,50
DSG,Dibujo I,DSGBLO4,50
DSG,Color,DSGBLO4,50
DSG,Introducción a la FGU,DSGBLO4,50
DSG,Inglés I,DSGBLO4,50
DSG,Taller de Diseño Básico,DSGBLO4,50
DSG,Fotografía I,DSGBLO4,50
DSG,Edición Digital de Imagen,DSGBLO4,50
DSG,Dibujo II,DSGBLO4,50
DSG,Tipografía I,DSGBLO4,50
DSG,Comunicación Visual I,DSGBLO4,50
DSG,Hist. Arte y Diseño Gráfico I,DSGBLO4,50
DSG,Inglés II,DSGBLO4,50
DSG,Taller de Diseño Gráfico I,DSGBLO4,50
DSG,Matemáticas para el Diseño,DSGBLO5,50
DSG,Dibujo e Ilust. Digital Vector,DSGBLO5,50
DSG,Procesos de Diseño,DSGBLO5,50
DSG,Expresión Comunicativa,DSGBLO5,50
DSG,Dibujo I,DSGBLO5,50
DSG,Color,DSGBLO5,50
DSG,Introducción a la FGU,DSGBLO5,50
DSG,Inglés I,DSGBLO5,50
DSG,Taller de Diseño Básico,DSGBLO5,50
DSG,Fotografía I,DSGBLO5,50
DSG,Edición Digital de Imagen,DSGBLO5,50
DSG,Dibujo II,DSGBLO5,50
DSG,Tipografía I,DSGBLO5,50
DSG,Comunicación Visual I,DSGBLO5,50
DSG,Hist. Arte y Diseño Gráfico I,DSGBLO5,50
DSG,Inglés II,DSGBLO5,50
DSG,Taller de Diseño Gráfico I,DSGBLO5,50
FAR,Matematicas,FARBLO1,50
FAR,Quimica General I,FARBLO1,50
FAR,Quimica General I (LAB),FARBLO1,50
FAR,Introduccion a la Farmacia,FARBLO1,50
FAR,Herramientas Computacionales,FARBLO1,50
FAR,Formacion Humana y Social,FARBLO1,50
FAR,DHPC,FARBLO1,50
FAR,Lengua Extranjera I,FARBLO1,50
FAR,Fisica,FARBLO1,50
FAR,Fisica(LAB),FARBLO1,50
FAR,Quimica General II,FARBLO1,50
FAR,Quimica General II(LAB),FARBLO1,50
FAR,Seguridad en el Laboratorio,FARBLO1,50
FAR,Quimica Organica I,FARBLO1,50
FAR,Quimica Organica I(LAB),FARBLO1,50
FAR,Biol. Molec. de la Celula,FARBLO1,50
FAR,Biol. Molec. de la Celula(LAB),FARBLO1,50
FAR,Quimica Analitica Basica,FARBLO1,50
FAR,Quimica Analitica Basica(LAB),FARBLO1,50
FAR,Bioetica y Deontologia Farmac,FARBLO1,50
FAR,Lengua Extranjera II,FARBLO1,50
FAR,Matematicas,FARBLO2,50
FAR,Quimica General I,FARBLO2,50
FAR,Quimica General I (LAB),FARBLO2,50
FAR,Introduccion a la Farmacia,FARBLO2,50
FAR,Herramientas Computacionales,FARBLO2,50
FAR,Formacion Humana y Social,FARBLO2,50
FAR,DHPC,FARBLO2,50
FAR,Lengua Extranjera I,FARBLO2,50
FAR,Fisica,FARBLO2,50
FAR,Fisica(LAB),FARBLO2,50
FAR,Quimica General II,FARBLO2,50
FAR,Quimica General II(LAB),FARBLO2,50
FAR,Seguridad en el Laboratorio,FARBLO2,50
FAR,Quimica Organica I,FARBLO2,50
FAR,Quimica Organica I(LAB),FARBLO2,50
FAR,Biol. Molec. de la Celula,FARBLO2,50
FAR,Biol. Molec. de la Celula(LAB),FARBLO2,50
FAR,Quimica Analitica Basica,FARBLO2,50
FAR,Quimica Analitica Basica(LAB),FARBLO2,50
FAR,Bioetica y Deontologia Farmac,FARBLO2,50
FAR,Lengua Extranjera II,FARBLO2,50
FAR,Matematicas,FARBLO3,50
FAR,Quimica General I,FARBLO3,50
FAR,Quimica General I (LAB),FARBLO3,50
FAR,Introduccion a la Farmacia,FARBLO3,50
FAR,Herramientas Computacionales,FARBLO3,50
FAR,Formacion Humana y Social,FARBLO3,50
FAR,DHPC,FARBLO3,50
FAR,Lengua Extranjera I,FARBLO3,50
FAR,Fisica,FARBLO3,50
FAR,Fisica(LAB),FARBLO3,50
FAR,Quimica General II,FARBLO3,50
FAR,Quimica General II(LAB),FARBLO3,50
FAR,Seguridad en el Laboratorio,FARBLO3,50
FAR,Quimica Organica I,FARBLO3,50
FAR,Quimica Organica I(LAB),FARBLO3,50
FAR,Biol. Molec. de la Celula,FARBLO3,50
FAR,Biol. Molec. de la Celula(LAB),FARBLO3,50
FAR,Quimica Analitica Basica,FARBLO3,50
FAR,Quimica Analitica Basica(LAB),FARBLO3,50
FAR,Bioetica y Deontologia Farmac,FARBLO3,50
FAR,Lengua Extranjera II,FARBLO3,50
ICC,Fundamentos de Matemáticas,ICCBLO1,50
ICC,Álgebra Superior Aplicada,ICCBLO1,50
ICC,Programación Básica,ICCBLO1,50
ICC,Inglés I,ICCBLO1,50
ICC,Ingeniería Social,ICCBLO1,50
ICC,Álgebra Lineal con Aplic.,ICCBLO1,50
ICC,Cálculo Diferencial con Aplic.,ICCBLO1,50
ICC,Programación Avanzada,ICCBLO1,50
ICC,Introducción a la FGU,ICCBLO1,50
ICC,Inglés II,ICCBLO1,50
ICC,Inglés III,ICCBLO1,50
ICC,Inglés IV,ICCBLO1,50
ICC,Física,ICCBLO1,50
ICD,Fundamentos de Matemáticas,ICDBLO1,50
ICD,Álgebra Superior Aplicada,ICDBLO1,50
ICD,Programación Básica,ICDBLO1,50
ICD,Inglés I,ICDBLO1,50
ICD,Intro. a la Ciencia de Datos,ICDBLO1,50
ICD,Álgebra Lineal con Aplic.,ICDBLO1,50
ICD,Cálculo Diferencial con Aplic.,ICDBLO1,50
ICD,Programación Avanzada,ICDBLO1,50
ICD,Introducción a la FGU,ICDBLO1,50
ICD,Inglés II,ICDBLO1,50
ICD,Inglés III,ICDBLO1,50
ICD,Inglés IV,ICDBLO1,50
ICD,Ética para la Ciencia de Datos,ICDBLO1,50
ICC,Fundamentos de Matemáticas,ICCBLO2,50
ICC,Álgebra Superior Aplicada,ICCBLO2,50
ICC,Programación Básica,ICCBLO2,50
ICC,Inglés I,ICCBLO2,50
ICC,Ingeniería Social,ICCBLO2,50
ICC,Álgebra Lineal con Aplic.,ICCBLO2,50
ICC,Cálculo Diferencial con Aplic.,ICCBLO2,50
ICC,Programación Avanzada,ICCBLO2,50
ICC,Introducción a la FGU,ICCBLO2,50
ICC,Inglés II,ICCBLO2,50
ICC,Inglés III,ICCBLO2,50
ICC,Inglés IV,ICCBLO2,50
ICC,Física,ICCBLO2,50
ICD,Fundamentos de Matemáticas,ICDBLO2,50
ICD,Álgebra Superior Aplicada,ICDBLO2,50
ICD,Programación Básica,ICDBLO2,50
ICD,Inglés I,ICDBLO2,50
ICD,Intro. a la Ciencia de Datos,ICDBLO2,50
ICD,Álgebra Lineal con Aplic.,ICDBLO2,50
ICD,Cálculo Diferencial con Aplic.,ICDBLO2,50
ICD,Programación Avanzada,ICDBLO2,50
ICD,Introducción a la FGU,ICDBLO2,50
ICD,Inglés II,ICDBLO2,50
ICD,Inglés III,ICDBLO2,50
ICD,Inglés IV,ICDBLO2,50
ICD,Ética para la Ciencia de Datos,ICDBLO2,50
ICC,Fundamentos de Matemáticas,ICCBLO3,50
ICC,Álgebra Superior Aplicada,ICCBLO3,50
ICC,Programación Básica,ICCBLO3,50
ICC,Inglés I,ICCBLO3,50
ICC,Ingeniería Social,ICCBLO3,50
ICC,Álgebra Lineal con Aplic.,ICCBLO3,50
ICC,Cálculo Diferencial con Aplic.,ICCBLO3,50
ICC,Programación Avanzada,ICCBLO3,50
ICC,Introducción a la FGU,ICCBLO3,50
ICC,Inglés II,ICCBLO3,50
ICC,Inglés III,ICCBLO3,50
ICC,Inglés IV,ICCBLO3,50
ICC,Física,ICCBLO3,50
ICD,Fundamentos de Matemáticas,ICDBLO3,50
ICD,Álgebra Superior Aplicada,ICDBLO3,50
ICD,Programación Básica,ICDBLO3,50
ICD,Inglés I,ICDBLO3,50
ICD,Intro. a la Ciencia de Datos,ICDBLO3,50
ICD,Álgebra Lineal con Aplic.,ICDBLO3,50
ICD,Cálculo Diferencial con Aplic.,ICDBLO3,50
ICD,Programación Avanzada,ICDBLO3,50
ICD,Introducción a la FGU,ICDBLO3,50
ICD,Inglés II,ICDBLO3,50
ICD,Inglés III,ICDBLO3,50
ICD,Inglés IV,ICDBLO3,50
ICD,Ética para la Ciencia de Datos,ICDBLO3,50
ICC,Fundamentos de Matemáticas,ICCBLO4,50
ICC,Álgebra Superior Aplicada,ICCBLO4,50
ICC,Programación Básica,ICCBLO4,50
ICC,Inglés I,ICCBLO4,50
ICC,Ingeniería Social,ICCBLO4,50
ICC,Álgebra Lineal con Aplic.,ICCBLO4,50
ICC,Cálculo Diferencial con Aplic.,ICCBLO4,50
ICC,Programación Avanzada,ICCBLO4,50
ICC,Introducción a la FGU,ICCBLO4,50
ICC,Inglés II,ICCBLO4,50
ICC,Inglés III,ICCBLO4,50
ICC,Inglés IV,ICCBLO4,50
ICC,Física,ICCBLO4,50
ICD,Fundamentos de Matemáticas,ICDBLO4,50
ICD,Álgebra Superior Aplicada,ICDBLO4,50
ICD,Programación Básica,ICDBLO4,50
ICD,Inglés I,ICDBLO4,50
ICD,Intro. a la Ciencia de Datos,ICDBLO4,50
ICD,Álgebra Lineal con Aplic.,ICDBLO4,50
ICD,Cálculo Diferencial con Aplic.,ICDBLO4,50
ICD,Programación Avanzada,ICDBLO4,50
ICD,Introducción a la FGU,ICDBLO4,50
ICD,Inglés II,ICDBLO4,50
ICD,Inglés III,ICDBLO4,50
